ID,Timestamp,How old are you?,What country do you live in?,What is your zip code / postal code?,How many siblings did you grow up with?,"How much television did you watch as a kid, on average?","On average, do you think you watched more television on weekdays or on the weekend?","On average, do you think you watched more television during the school year or during summer vacation?",Which is your favorite Muppet?,In your opinion | which of the following items could technically be considered a sandwich?,Do you believe in ghosts?,Have you ever had an encounter with a ghost?,Pretend you've just been challenged to rock-paper-scissors. What's your move?,OPTIONAL: Please provide any feedback you have on this survey. Thank you for participating!!
85,6/29/2024 22:52,41,US,45215,0,6-8 hours per week,More on the weekend,More during the summer,Miss Piggy,Egg and cheese in an English muffin,Yes,Yes,Rock,
86,6/30/2024 0:31,40,USA ,08691,4-Mar,6-8 hours per week,More on the weekend,More during the summer,Kermit the Frog,Egg and cheese in an English muffin,Maybe,No,Rock,Naw 
87,6/30/2024 8:47,16,USA,55128,2-Jan,More than 8 hours per week,More on the weekend,More during the summer,Gonzo the Great,Egg and cheese in an English muffin,No,No,Scissors,
88,6/30/2024 18:07,38,United States,94530,2-Jan,3-6 hours per week,More on weekdays,More during the school year,I do not have a favorite Muppet,Egg and cheese in an English muffin,Yes,Maybe,Scissors,
89,6/30/2024 20:00,47,USA,90301,4-Mar,More than 8 hours per week,More on the weekend,More during the summer,I do not have a favorite Muppet,Egg and cheese in an English muffin,Yes,Yes,Scissors,
90,6/30/2024 22:50,37,United States ,55406,2-Jan,1-3 hours per week,More on weekdays,About the same,Animal,Egg and cheese in an English muffin,Yes,Yes,Rock,
91,7/1/2024 6:06,40,United States,33596,2-Jan,3-6 hours per week,More on the weekend,More during the school year,Animal,Egg and cheese in an English muffin,Yes,Yes,Paper,
92,7/1/2024 7:27,27,United States of America ,75455,2-Jan,More than 8 hours per week,More on the weekend,More during the summer,Miss Piggy,Egg and cheese in an English muffin,Yes,Yes,Rock,Needs more silly questions. 
93,7/1/2024 7:28,46,United States ,43016,2-Jan,1-3 hours per week,More on the weekend,About the same,I do not have a favorite Muppet,Egg and cheese in an English muffin,Yes,No,Scissors,"Muppets needs an ""other"" option instead of ""none"". My fav was the Swedish chef or Mah Na Mah Na guys"
94,7/1/2024 8:39,57,USA,55125,2-Jan,More than 8 hours per week,More on weekdays,More during the school year,Kermit the Frog,Egg and cheese in an English muffin,No,No,Rock,
95,7/1/2024 12:03,44,United States ,30228,2-Jan,More than 8 hours per week,More on weekdays,More during the school year,Miss Piggy,Egg and cheese in an English muffin,Yes,Yes,Rock,Cute quick survey!
96,7/1/2024 16:38,35,United States,60020,5 or more,3-6 hours per week,More on the weekend,More during the summer,Fozzie Bear,Egg and cheese in an English muffin,Maybe,Maybe,Scissors,
97,7/1/2024 17:01,32,United States ,30296,2-Jan,3-6 hours per week,About the same,About the same,I do not have a favorite Muppet,Egg and cheese in an English muffin | Pizza slice folded in half,Yes,Maybe,Paper,
98,7/1/2024 17:04,28,United States,01970,2-Jan,Less than 1 hour per week,More on weekdays,More during the summer,Miss Piggy,Egg and cheese in an English muffin | Bratwurst with sauerkraut in a bun,Maybe,Yes,Rock,
99,7/1/2024 17:21,36,United States,93662,2-Jan,More than 8 hours per week,More on the weekend,About the same,Animal,Egg and cheese in an English muffin,Yes,Maybe,Paper,
100,7/1/2024 17:35,34,USA ,77070,2-Jan,More than 8 hours per week,About the same,About the same,Animal,Pizza slice folded in half,Maybe,Yes,Rock,
101,7/1/2024 17:51,31,USA,97302,2-Jan,3-6 hours per week,About the same,More during the school year,Gonzo the Great,Egg and cheese in an English muffin,Maybe,No,Rock,
102,7/1/2024 17:53,40,United States ,77080,0,6-8 hours per week,More on the weekend,More during the summer,Miss Piggy,Egg and cheese in an English muffin,Maybe,No,Paper,
103,7/1/2024 17:53,47,usa,79022,2-Jan,6-8 hours per week,More on the weekend,More during the summer,Gonzo the Great,Burrito wrapped in foil and eaten with the hands,Yes,Yes,Paper,Fun Survey
104,7/1/2024 23:02,19,USA,06360,2-Jan,3-6 hours per week,More on weekdays,More during the school year,I do not have a favorite Muppet,Pizza slice folded in half,Maybe,Maybe,Rock,
105,7/2/2024 12:54,58,USA,55331,2-Jan,3-6 hours per week,More on weekdays,More during the school year,Animal,Egg and cheese in an English muffin,Maybe,No,Rock,
106,7/7/2024 20:19,47,USA,55123,0,3-6 hours per week,More on the weekend,About the same,Animal,Burrito wrapped in foil and eaten with the hands,Maybe,Maybe,Rock,
107,7/9/2024 12:58,43,United States,14621,2-Jan,3-6 hours per week,About the same,More during the summer,Miss Piggy,Egg and cheese in an English muffin | Bratwurst with sauerkraut in a bun,Maybe,Maybe,Scissors,
108,7/10/2024 21:28,43,United states,55424,2-Jan,6-8 hours per week,More on the weekend,More during the summer,I do not have a favorite Muppet,Egg and cheese in an English muffin,No,No,Paper,
109,7/11/2024 23:44,32,US,78664,0,More than 8 hours per week,More on the weekend,About the same,Animal,Egg and cheese in an English muffin | Burrito wrapped in foil and eaten with the hands,Yes,Yes,Scissors,
110,9/23/2024 11:34,26,Uunited States,60638,4-Mar,6-8 hours per week,About the same,About the same,Miss Piggy,Egg and cheese in an English muffin | Chicago-style hot dog with all the fixings,Maybe,No,Rock,
111,9/23/2024 11:34,24,United States,60634,2-Jan,6-8 hours per week,More on weekdays,About the same,Kermit the Frog,Egg and cheese in an English muffin | Chicago-style hot dog with all the fixings | Burrito wrapped in foil and eaten with the hands | Pizza slice folded in half,Maybe,No,Rock,
112,9/23/2024 11:34,26,North America,60608,2-Jan,More than 8 hours per week,More on the weekend,More during the summer,I do not have a favorite Muppet,Egg and cheese in an English muffin | Bratwurst with sauerkraut in a bun,Yes,Yes,Rock,
113,9/23/2024 11:34,23,United States,60402,2-Jan,More than 8 hours per week,More on the weekend,More during the summer,Pepe,Egg and cheese in an English muffin,Yes,Yes,Paper,
114,9/23/2024 11:35,21,United States,60016,4-Mar,I did not watch television,Not applicable: I did not watch television,Not applicable: I did not watch television,I do not have a favorite Muppet,Egg and cheese in an English muffin,Maybe,Maybe,Paper,
115,9/23/2024 11:35,26,USA,60804,2-Jan,6-8 hours per week,More on the weekend,More during the summer,Kermit the Frog,Egg and cheese in an English muffin,Maybe,No,Rock,
116,9/23/2024 11:35,24,usa,60629,2-Jan,3-6 hours per week,About the same,About the same,I do not have a favorite Muppet,Egg and cheese in an English muffin,No,No,Rock,n/a
117,9/23/2024 11:35,21,United States,60659,2-Jan,3-6 hours per week,More on the weekend,About the same,I do not have a favorite Muppet,Chicago-style hot dog with all the fixings | Bratwurst with sauerkraut in a bun | Burrito wrapped in foil and eaten with the hands,Maybe,No,Scissors,
118,9/23/2024 11:35,28,US,60638,2-Jan,3-6 hours per week,More on the weekend,More during the summer,Kermit the Frog,Egg and cheese in an English muffin,Maybe,Maybe,Rock,
119,9/23/2024 11:35,28,USA,60651,2-Jan,More than 8 hours per week,More on the weekend,More during the summer,Miss Piggy,Egg and cheese in an English muffin | Burrito wrapped in foil and eaten with the hands | Burrito smothered in salsa verde and eaten with a fork,,Yes,Rock,
120,9/23/2024 11:35,25,USA,60642,2-Jan,More than 8 hours per week,More on the weekend,More during the summer,Kermit the Frog,Egg and cheese in an English muffin,Maybe,Maybe,Rock,
121,9/23/2024 11:35,22,USA,60616,2-Jan,3-6 hours per week,More on the weekend,More during the summer,I do not have a favorite Muppet,Egg and cheese in an English muffin | Chicago-style hot dog with all the fixings | Pizza slice folded in half,Maybe,Maybe,Paper,"Great Silly Survey, I enjoyed it"
122,9/23/2024 11:35,24,United States,60647,4-Mar,More than 8 hours per week,More on weekdays,More during the summer,Kermit the Frog,Egg and cheese in an English muffin,Yes,Maybe,Scissors,Its really random
123,9/23/2024 11:35,25,United States,60532,4-Mar,6-8 hours per week,More on the weekend,More during the summer,Gonzo the Great,Egg and cheese in an English muffin,Yes,Maybe,Paper,
124,9/23/2024 11:36,28,United States,60626,4-Mar,6-8 hours per week,About the same,About the same,Kermit the Frog,Burrito smothered in salsa verde and eaten with a fork,Yes,Maybe,Paper,
125,9/23/2024 11:36,29,United States,60632,2-Jan,More than 8 hours per week,More on the weekend,About the same,I do not have a favorite Muppet,Egg and cheese in an English muffin,Yes,Maybe,Paper,Thought this was hilarious!
126,9/23/2024 11:36,21,United States,60104,4-Mar,3-6 hours per week,More on weekdays,More during the summer,Miss Piggy,Egg and cheese in an English muffin | Burrito wrapped in foil and eaten with the hands,Yes,Yes,Scissors,Very fun and different
127,9/23/2024 11:36,19,United States,60616,5 or more,6-8 hours per week,About the same,About the same,Beaker,Egg and cheese in an English muffin | Chicago-style hot dog with all the fixings | Bratwurst with sauerkraut in a bun | Burrito wrapped in foil and eaten with the hands | Burrito smothered in salsa verde and eaten with a fork | Pizza slice folded in half,Yes,Maybe,Rock,More silly... more... MORE!
128,9/23/2024 11:36,30,United States ,60805,5 or more,6-8 hours per week,More on the weekend,More during the summer,Kermit the Frog,Bratwurst with sauerkraut in a bun,Yes,No,Scissors,This was fun!
129,9/23/2024 11:36,25,United States of America,60473,4-Mar,More than 8 hours per week,About the same,More during the school year,Cooke Monster,Egg and cheese in an English muffin,Maybe,No,Scissors,
130,9/23/2024 11:37,19,United States,60443,2-Jan,6-8 hours per week,More on weekdays,More during the summer,Animal,Egg and cheese in an English muffin | Chicago-style hot dog with all the fixings,No,No,Scissors,
